Country,LifeExpectancyatBirth,GenderLifeGapatBirth,LifeExpectancyat60,GenderLifeGapat60,pctUrbanRate,HealthExpenditure
Japan,84.3,5.4,26.3,4.7,91.8,4504.0
Switzerland,83.4,3.3,25.4,2.5,73.9,8114.0
South Korea,83.3,5.8,25.8,4.5,81.4,3214.0
Singapore,83.2,4.5,25.5,3.4,100.0,4439.0
Cyprus,83.2,5.0,25.4,4.0,66.8,2625.0
Spain,83.2,4.0,24.9,3.1,80.8,3576.0
Australia,83.0,3.5,25.6,2.4,86.2,5005.0
Italy,83.0,4.0,25.0,3.1,71.0,3624.0
Israel,82.6,3.6,24.9,2.4,92.6,3207.0
Norway,82.6,3.0,25.1,1.9,83.0,6818.0
France,82.5,5.3,25.3,3.9,81.0,5250.0
Luxembourg,82.4,3.6,24.4,2.9,91.5,6048.0
Sweden,82.4,3.2,24.5,2.3,88.0,5828.0
Iceland,82.3,3.1,24.6,1.8,93.9,5113.0
Canada,82.2,3.7,25.2,2.6,81.6,5200.0
New Zealand,82.0,3.1,24.8,2.0,86.7,4024.0
Malta,81.9,3.9,24.5,2.9,94.7,3897.0
Ireland,81.8,3.3,24.2,2.3,63.7,5897.0
Netherlands,81.8,2.7,24.1,2.1,92.2,5635.0
Germany,81.7,6.1,24.4,5.0,77.5,6098.0
Austria,81.6,4.4,24.1,3.2,58.7,5879.0
Finland,81.6,4.8,24.2,3.4,85.5,4457.0
Portugal,81.6,5.8,24.3,4.2,66.3,3242.0
Belgium,81.4,4.2,24.0,3.3,98.1,5405.0
United Kingdom,81.4,3.2,24.1,2.2,83.9,4620.0
Denmark,81.3,3.4,23.6,2.6,88.1,5794.0
Slovenia,81.3,5.5,23.8,3.8,55.1,3158.0
Greece,81.1,5.0,23.8,3.4,79.7,2340.0
Kuwait,81.0,4.6,24.0,3.1,100.0,3669.0
Costa Rica,80.8,5.1,25.0,2.8,80.8,1337.0
Chile,80.7,5.1,24.3,3.5,87.7,2306.0
Peru,79.9,2.8,24.4,1.4,78.3,767.0
Maldives,79.6,2.2,22.1,1.7,40.7,1443.0
