Country,LifeExpectancyatBirth,GenderLifeGapatBirth,LifeExpectancyat60,GenderLifeGapat60
Japan,84.3,5.4,26.3,4.7
Switzerland,83.4,3.3,25.4,2.5
South Korea,83.3,5.8,25.8,4.5
Singapore,83.2,4.5,25.5,3.4
Cyprus,83.2,5.0,25.4,4.0
Spain,83.2,4.0,24.9,3.1
Australia,83.0,3.5,25.6,2.4
Italy,83.0,4.0,25.0,3.1
Israel,82.6,3.6,24.9,2.4
Norway,82.6,3.0,25.1,1.9
France,82.5,5.3,25.3,3.9
Luxembourg,82.4,3.6,24.4,2.9
Sweden,82.4,3.2,24.5,2.3
Iceland,82.3,3.1,24.6,1.8
Canada,82.2,3.7,25.2,2.6
New Zealand,82.0,3.1,24.8,2.0
Malta,81.9,3.9,24.5,2.9
Ireland,81.8,3.3,24.2,2.3
Netherlands,81.8,2.7,24.1,2.1
Germany,81.7,6.1,24.4,5.0
Austria,81.6,4.4,24.1,3.2
Finland,81.6,4.8,24.2,3.4
Portugal,81.6,5.8,24.3,4.2
Belgium,81.4,4.2,24.0,3.3
United Kingdom,81.4,3.2,24.1,2.2
Denmark,81.3,3.4,23.6,2.6
Slovenia,81.3,5.5,23.8,3.8
Greece,81.1,5.0,23.8,3.4
Kuwait,81.0,4.6,24.0,3.1
Costa Rica,80.8,5.1,25.0,2.8
Chile,80.7,5.1,24.3,3.5
Peru,79.9,2.8,24.4,1.4
Maldives,79.6,2.2,22.1,1.7
Colombia,79.3,5.2,24.0,2.8
Panama,79.3,5.5,24.3,3.4
Czech Republic,79.1,5.6,22.1,4.1
Estonia,78.9,7.9,22.5,5.7
Croatia,78.6,6.1,21.8,4.3
Turkey,78.6,4.3,22.0,2.6
United States,78.4,4.4,23.1,2.6
Ecuador,78.4,4.1,23.2,2.3
Poland,78.3,7.4,22.1,4.8
Europe,78.2,6.2,22.5,3.8
Slovakia,78.2,6.6,21.8,4.6
Albania,78.0,3.6,21.0,1.7
Jordan,77.9,1.8,21.8,0.5
Cuba,77.8,4.9,21.6,3.2
Western Pacific,77.7,6.0,21.8,4.1
Thailand,77.7,6.6,23.6,2.7
China,77.4,5.8,21.1,3.9
Iran,77.3,3.4,21.8,1.3
Americas,77.2,5.3,22.7,2.8
Qatar,77.2,-1.4,19.5,2.2
Algeria,77.1,1.9,22.0,1.1
Uruguay,77.1,7.1,21.7,5.0
Tunisia,77.0,4.3,21.5,2.6
Sri Lanka,76.9,6.0,20.8,4.0
Bosnia and Herzegovina,76.8,4.7,20.2,3.0
Argentina,76.6,6.0,21.1,4.3
Antigua and Barbuda,76.5,3.1,20.6,1.5
