Country,LifeExpectancyatBirth,GenderLifeGapatBirth,LifeExpectancyat60,GenderLifeGapat60,pctUrbanRate,True
Japan,84.3,5.4,26.3,4.7,91.8,both
Switzerland,83.4,3.3,25.4,2.5,73.9,both
South Korea,83.3,5.8,25.8,4.5,81.4,both
Singapore,83.2,4.5,25.5,3.4,100,both
Cyprus,83.2,5.0,25.4,4.0,66.8,both
Spain,83.2,4.0,24.9,3.1,80.8,both
Australia,83.0,3.5,25.6,2.4,86.2,both
Italy,83.0,4.0,25.0,3.1,71,both
Israel,82.6,3.6,24.9,2.4,92.6,both
Norway,82.6,3.0,25.1,1.9,83,both
France,82.5,5.3,25.3,3.9,81,both
Luxembourg,82.4,3.6,24.4,2.9,91.5,both
Sweden,82.4,3.2,24.5,2.3,88,both
Iceland,82.3,3.1,24.6,1.8,93.9,both
Canada,82.2,3.7,25.2,2.6,81.6,both
New Zealand,82.0,3.1,24.8,2.0,86.7,both
Malta,81.9,3.9,24.5,2.9,94.7,both
Ireland,81.8,3.3,24.2,2.3,63.7,both
Netherlands,81.8,2.7,24.1,2.1,92.2,both
Germany,81.7,6.1,24.4,5.0,77.5,both
Austria,81.6,4.4,24.1,3.2,58.7,both
Finland,81.6,4.8,24.2,3.4,85.5,both
Portugal,81.6,5.8,24.3,4.2,66.3,both
Belgium,81.4,4.2,24.0,3.3,98.1,both
United Kingdom,81.4,3.2,24.1,2.2,83.9,both
Denmark,81.3,3.4,23.6,2.6,88.1,both
Slovenia,81.3,5.5,23.8,3.8,55.1,both
Greece,81.1,5.0,23.8,3.4,79.7,both
Kuwait,81.0,4.6,24.0,3.1,100,both
Costa Rica,80.8,5.1,25.0,2.8,80.8,both
Chile,80.7,5.1,24.3,3.5,87.7,both
Peru,79.9,2.8,24.4,1.4,78.3,both
Maldives,79.6,2.2,22.1,1.7,40.7,both
Colombia,79.3,5.2,24.0,2.8,81.4,both
Panama,79.3,5.5,24.3,3.4,68.4,both
Czech Republic,79.1,5.6,22.1,4.1,74.1,both
Estonia,78.9,7.9,22.5,5.7,69.2,both
Croatia,78.6,6.1,21.8,4.3,57.6,both
Turkey,78.6,4.3,22.0,2.6,76.1,both
United States,78.4,4.4,23.1,2.6,82.7,both
Ecuador,78.4,4.1,23.2,2.3,64.2,both
Poland,78.3,7.4,22.1,4.8,60,both
Europe,78.2,6.2,22.5,3.8,,left_only
Slovakia,78.2,6.6,21.8,4.6,53.8,both
Albania,78.0,3.6,21.0,1.7,62.1,both
Jordan,77.9,1.8,21.8,0.5,91.4,both
Cuba,77.8,4.9,21.6,3.2,77.2,both
Western Pacific,77.7,6.0,21.8,4.1,,left_only
Thailand,77.7,6.6,23.6,2.7,51.4,both
China,77.4,5.8,21.1,3.9,61.4,both
Iran,77.3,3.4,21.8,1.3,75.9,both
Americas,77.2,5.3,22.7,2.8,,left_only
Qatar,77.2,-1.4,19.5,2.2,99.2,both
Algeria,77.1,1.9,22.0,1.1,73.7,both
Uruguay,77.1,7.1,21.7,5.0,95.5,both
Tunisia,77.0,4.3,21.5,2.6,69.6,both
Sri Lanka,76.9,6.0,20.8,4.0,18.7,both
Bosnia and Herzegovina,76.8,4.7,20.2,3.0,49,both
Argentina,76.6,6.0,21.1,4.3,92.1,both
Antigua and Barbuda,76.5,3.1,20.6,1.5,24.4,both
Hungary,76.4,6.5,20.2,4.6,71.9,both
Lebanon,76.4,5.2,20.5,3.6,88.9,both
Trinidad and Tobago,76.1,7.4,22.7,4.6,53.2,both
United Arab Emirates,76.1,3.3,19.9,2.5,87,both
Armenia,76.0,6.7,20.4,3.9,63.3,both
Barbados,76.0,3.4,20.9,1.9,31.2,both
Jamaica,76.0,3.3,21.3,2.5,56.3,both
Lithuania,76.0,9.2,20.9,5.9,68,both
Mexico,76.0,5.8,21.8,2.6,80.7,both
Brazil,75.9,7.0,21.9,3.4,87.1,both
Montenegro,75.9,5.5,19.4,3.9,67.5,both
Serbia,75.9,4.8,19.6,3.2,56.4,both
Bahrain,75.8,2.0,19.0,0.7,89.5,both
